platform,id,sample_position,sort,topic,target,expressed_emotion,trust_or_concern,english_paraphrase,uncertainty,url
bilibili,304239817921,root,hot-thread,Investment autonomy,Other investors,Self-assured / admonishing,Personal responsibility,People can choose their market and bear the consequences of their judgment.,Tone may include dismissal; not direct endorsement of the guest.,https://www.bilibili.com/video/BV1V97W6KEhS/#reply304239817921
bilibili,307224449088,root,hot-thread,Guest credibility,Guest,Ironic / amused,Local financial analogy,"Compares the guest to a Chinese financial commentator, with a doge emoji.",Exact trait being compared is ambiguous; do not equate this automatically with a specific forecast.,https://www.bilibili.com/video/BV1V97W6KEhS/#reply307224449088
bilibili,308218649616,root,hot-thread,Advice versus actions,Guest / GMO,Skeptical,Apparent holdings contradiction,Alleges that GMO holds large US positions despite advice against US stocks.,Holdings claim is unverified; fund positions and the guest’s personal stance may differ.,https://www.bilibili.com/video/BV1V97W6KEhS/#reply308218649616
bilibili,305683139777,reply,hot-thread,Correction,Parent comment,Corrective,Management role / alleged position changes,Replies that the guest is no longer central to management and alleges an Nvidia reduction.,"Counterargument, not independent verification of either allegation.",https://www.bilibili.com/video/BV1V97W6KEhS/#reply305683139777
bilibili,308339152065,reply,hot-thread,Investing access,Parent comment,Frustrated / skeptical,Practical constraints,Challenges the premise that US stocks are freely accessible.,Expresses a perceived barrier; not a legal finding.,https://www.bilibili.com/video/BV1V97W6KEhS/#reply308339152065
bilibili,308436788577,reply,hot-thread,Access and status,Another commenter,Mocking,Insider know-how,Mocks another participant for lacking access or connections.,Shows status performance rather than a view on the interview itself.,https://www.bilibili.com/video/BV1V97W6KEhS/#reply308436788577
bilibili,314276842320,reply,hot-thread,Advice versus actions,Guest,Skeptical,Revealed behavior,Prioritizes observed actions over public statements.,General trust heuristic; does not establish misconduct.,https://www.bilibili.com/video/BV1V97W6KEhS/#reply314276842320
youtube,UgzhN1svLOSKtwxcGPZ4AaABAg,2,top,Guest competence,Guest,Admiration,Age / recall / articulation,Admires the guest’s ability to sustain a detailed conversation at his age.,Praise is not equivalent to agreement with his financial forecast.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzhN1svLOSKtwxcGPZ4AaABAg
youtube,UgyXvDXHGKt-1klDXwZ4AaABAg,3,top,Resilience,Personal financial life,Pragmatic / reassuring,Preparedness,Shifts attention from predicting crises to being able to withstand one.,May be an aphorism rather than personal testimony.,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgyXvDXHGKt-1klDXwZ4AaABAg
youtube,UgxAsI6AaxKUDQyT-Dx4AaABAg,6,top,Cost of living,Economic circumstances,Resignation / frustration,Everyday expenses,Says ordinary salaries are absorbed by basic living costs.,"Rhetorical generalization, not household survey evidence.",https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxAsI6AaxKUDQyT-Dx4AaABAg
