platform,id,sample,topic,expressed_emotion,english_paraphrase,uncertainty,url
bilibili,282147601937,bilibili,An alternative life,Envy / emotional longing,The commenter is struck by the existence of a completely different way of living.,"A prominent root with 2,682 likes; not an estimate of how many viewers feel this way.",https://www.bilibili.com/video/BV1zYSvBHE3U/#reply282147601937
bilibili,282067542145,bilibili,Envy and belonging,Envy / playful affiliation,Expresses envy of another person’s life; replies repeat and remix the sentiment.,"Repetition inside a thread reflects interaction and imitation, not independent topic selection.",https://www.bilibili.com/video/BV1zYSvBHE3U/#reply282067542145
bilibili,284325019040,bilibili,Money and self-comparison,Mixed envy / admiration,"Contrasts bargain-hunting in everyday life with the crew’s opportunity, while explicitly admiring the people aboard.",Mixed emotion; do not reduce it to hostility toward wealthy travelers.,https://www.bilibili.com/video/BV1zYSvBHE3U/#reply284325019040
bilibili,283106942545,bilibili,Unequal freedom,Resentment,Describes a world divided between people who work hard and people who enjoy it.,"A single structural critique, not the position of the entire thread.",https://www.bilibili.com/video/BV1zYSvBHE3U/#reply283106942545
bilibili,284058615456,bilibili,Physical discomfort,Disinterest / weariness,Personal experience with repeated vomiting makes the voyage less appealing.,The cause of the commenter’s symptoms is unspecified; do not infer an occupation or illness.,https://www.bilibili.com/video/BV1zYSvBHE3U/#reply284058615456
bilibili,283527644257,bilibili,Risk and reward,Caution / reassurance,Argues that ocean travel offers both extraordinary joy and hardship; viewers should consider their tolerance.,A counterexample to reading the thread as unqualified envy.,https://www.bilibili.com/video/BV1zYSvBHE3U/#reply283527644257
bilibili,285651382432,bilibili,Vicarious enjoyment,Reassuring / humorous,Suggests that watching from home offers scenery without weather exposure or risk.,May also be a way to cope with social comparison.,https://www.bilibili.com/video/BV1zYSvBHE3U/#reply285651382432
bilibili,282075035521,bilibili,Creator invitation,Excitement / engagement prompt,The uploader promises an Antarctic trip if the video reaches a like target and asks about group travel.,Creator-authored; excluded from non-uploader counts. The prompt shapes its replies.,https://www.bilibili.com/video/BV1zYSvBHE3U/#reply282075035521
bilibili,282075489041,bilibili,Crew relationship,Warmth / affiliation,The named captain invites the creators back aboard.,"Identified participant, not an independent audience response.",https://www.bilibili.com/video/BV1zYSvBHE3U/#reply282075489041
youtube,UgzoQYjq1d1_Tud7KYN4AaABAg,top,Life comparison,Envy / sadness / admiration,A 36-year-old working late contrasts their life with the crew’s shared adventure and sense of purpose.,Age and circumstances are self-reported; 90 displayed likes are not population support.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzoQYjq1d1_Tud7KYN4AaABAg
youtube,UgwhuhRug1FUz9IpDvB4AaABAg,top,Aspirational action,Hope / motivation,Frames travel as motivation to earn money and eventually achieve freedom to explore.,"A future intention, not evidence of actual action.",https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwhuhRug1FUz9IpDvB4AaABAg
youtube,Ugzl0lNfrwBozjq-Cix4AaABAg,top,Learning interest,Curiosity,Reports starting to learn about sailing after watching.,Self-report; behavior is not independently verified.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzl0lNfrwBozjq-Cix4AaABAg
youtube,UgxWgj34-C89DgXSIsF4AaABAg,top,Filmmaking,Appreciation,Says the video held their attention for its entire duration.,Praise for production does not imply willingness to live at sea.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxWgj34-C89DgXSIsF4AaABAg
youtube,UgzzffBr5x50uQAP4VF4AaABAg,top,Shared fandom,Excitement,Connects the episode to being a One Piece fan.,This reference also comes from the video’s own framing; not proof of a platform difference.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzzffBr5x50uQAP4VF4AaABAg
youtube,UgzWNzXgZxKebn5rbVB4AaABAg,top,Cross-platform audience,Support / affiliation,Says they watched on Bilibili and came to YouTube to like the video.,Direct evidence of at least one self-reported overlapping viewer; overlap rate is unknown.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzWNzXgZxKebn5rbVB4AaABAg
youtube,UgxR61G-RjTbugGu66F4AaABAg,top,Practical access,Curiosity,Asks the price of a trip.,"A question signals interest, not necessarily an intention or ability to book.",https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxR61G-RjTbugGu66F4AaABAg
youtube,Ugwmr-T-NrJaJDSuC0V4AaABAg,top,Onboard connectivity,Curiosity,Asks whether internet access is available and reliable at sea.,Practical feasibility question rather than an emotional endorsement.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugwmr-T-NrJaJDSuC0V4AaABAg
youtube,Ugyn6hlGEr2nwE9-1Ft4AaABAg,top,Attribution challenge,Skepticism,Challenges a literary quotation’s attribution using an AI answer.,Neither the quotation nor the AI answer was independently checked.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugyn6hlGEr2nwE9-1Ft4AaABAg
youtube,UgwwZ8ygh-v_6pw3IwJ4AaABAg,top,National flag scene,Correction,Points to an on-screen response in the flag-related exchange.,A flag mention need not express the same political stance as other flag comments.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwwZ8ygh-v_6pw3IwJ4AaABAg
youtube,UgztRMHIIyPc-JXucyd4AaABAg,newest,National identity,Hostility,Expresses disgust at the sight of the Chinese flag.,One hostile political reaction; no basis to infer nationality or generalize to YouTube.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgztRMHIIyPc-JXucyd4AaABAg
youtube,UgxLvBRa7IFtZEnX-xV4AaABAg,newest,National identity,Derision / hostility,Turns the flag scene into derogatory commentary about patriotism and mainland Chinese people.,"The stereotype is the commenter’s, not an endorsed conclusion.",https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxLvBRa7IFtZEnX-xV4AaABAg
youtube,UgwImiNeUQikg6Sb3bx4AaABAg,top,English response,Appreciation,Thanks the creator for sharing a different experience.,The only primarily English comment in the retrieved 92; insufficient for an English-audience comparison.,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwImiNeUQikg6Sb3bx4AaABAg
