platform,id,sort,page,rank,text,published_label,reply_level,creator,likes_display,replies_display,url,primary_topic,primary_topic_label,language,in_top,in_newest
youtube,UgyataXTTl6RFy1BqYF4AaABAg,top,1,3,谢谢分享！拍得很美。对白有墨，有趣，有深度。,2 weeks ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyataXTTl6RFy1BqYF4AaABAg,appreciation,"Appreciation of filming, people or experience",Chinese (including mixed terms),True,True
youtube,Ugzl0lNfrwBozjq-Cix4AaABAg,top,1,5,自从的这个视频以后，我一直在了解帆船👍,3 weeks ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzl0lNfrwBozjq-Cix4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,UgxrTpEIK5rMuxr27A54AaABAg,top,4,64,我觉得这艘帆船最少要700-800万人民币之间，这是我的梦想啊…,3 weeks ago,0,False, ,1,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxrTpEIK5rMuxr27A54AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,UgyQX5_ucNvAmU6KlWR4AaABAg,top,1,10,有紅甘肚生魚片👍👍🤩🤩😎😎,3 weeks ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgyQX5_ucNvAmU6KlWR4AaABAg,observation,"Travel, food or boat observations",Chinese (including mixed terms),True,True
youtube,UgxJpkY_daxcxIoLtxd4AaABAg,top,1,2,很棒也很壮丽，继续你们的诗与远方，体验着无数人们的梦想。,3 weeks ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxJpkY_daxcxIoLtxd4AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,UgzwMskqTXDN0e_Ku9p4AaABAg,top,1,15,订阅了:hand-purple-blue-peace:偶然发现的频道，好看，不无聊,1 month ago,0,False,1,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzwMskqTXDN0e_Ku9p4AaABAg,community,Community support or minimal response,Chinese (including mixed terms),True,True
youtube,Ugwc34u-fowcKozxBa54AaABAg,top,4,75,:hand-pink-waving:,1 month ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugwc34u-fowcKozxBa54AaABAg,community,Community support or minimal response,Emoji only,True,True
youtube,UgzDBmBcq3XECdOqebJ4AaABAg,top,4,61,好奇这么多人，晚上住的下吗🤠,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzDBmBcq3XECdOqebJ4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgxR61G-RjTbugGu66F4AaABAg,top,4,67,玩一趟多少钱,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgxR61G-RjTbugGu66F4AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,Ugw53jaQ98UKhf10pE14AaABAg,top,5,82,有钱有闲,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugw53jaQ98UKhf10pE14AaABAg,aspiration,"Aspiration, envy or life comparison",Chinese (including mixed terms),True,True
youtube,Ugx3Bbs5L-c5r0YCS2t4AaABAg,top,1,20,我冲着娜美进来的 你给我看路飞 香吉士 佐罗？？？也行吧,2 months ago,0,False,2,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugx3Bbs5L-c5r0YCS2t4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,Ugzm6QRLeZVqK4IafD54AaABAg,top,4,74,睡觉，如何外理，多男一女！能1个月算强了，一年都在外？,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=Ugzm6QRLeZVqK4IafD54AaABAg,practical,"Practical questions, advice or expectations",Chinese (including mixed terms),True,True
youtube,UgwKtQV9sMfKzkwr7Jp4AaABAg,top,4,70,他是entp吗,2 months ago,0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgwKtQV9sMfKzkwr7Jp4AaABAg,humor,"Fandom, jokes or character talk",Chinese (including mixed terms),True,True
youtube,UgzrwdeIs_JndElVbM94AaABAg,top,4,72,没有五星红旗 你为什么不罢赛,2 months ago (edited),0,False, ,,https://www.youtube.com/watch?v=zxhsbfEgRiU&lc=UgzrwdeIs_JndElVbM94AaABAg,flag,National flag / political identity,Chinese (including mixed terms),True,True
