Name,Address,Latitude,Longitude,Type,Why people love it,Source,Google Maps link
Bullock's Bistro,"Bullock's Bistro, Old Town, Yellowknife, NT, Canada",62.4647539,-114.3501031,restaurant,"Stop for delicious fish meal straight from Great Slave Lake, at Bullock's Bistro.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Bullock%27s%20Bistro%20Old%20Town%20Yellowknife
North Star Adventures (Aurora Hunting Tour),"North Star Adventures, Downtown pickup, Yellowknife, NT, Canada",,,other,best aurora hunting tour in Yellowknife,https://www.tripadvisor.com/ShowUserReviews-g154966-d2173267-r425432289-North_Star_Adventures-Yellowknife_Northwest_Territories.html,https://www.google.com/maps/search/?api=1&query=North%20Star%20Adventures%20%28Aurora%20Hunting%20Tour%29%20Downtown%20pickup%20/%20Ingraham%20Trail%20Yellowknife
Aurora Village,"Aurora Village, Ingraham Trail teepee site, Yellowknife, NT, Canada",62.4552024,-114.3688769,sight,Aurora Village is one of the region's most iconic experiences: viewing the auroras in a small out-of-town space populated by teepees.,https://vancouverscape.com/yellowknife-nwt-auroras-two-ways/,https://www.google.com/maps/search/?api=1&query=Aurora%20Village%20Ingraham%20Trail%20%28out%20of%20town%29%20Yellowknife
The Woodyard Brewhouse & Eatery (NWT Brewing Co.),"The Woodyard Brewhouse & Eatery, Old Town, Yellowknife, NT, Canada",62.461679,-114.3535192,bar,"Sip local, award winning craft beer from the NWT Brewing Company, at the Woodyard",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=The%20Woodyard%20Brewhouse%20%26%20Eatery%20%28NWT%20Brewing%20Co.%29%20Old%20Town%20Yellowknife
Bush Pilot's Monument,"Bush Pilot's Monument, Old Town, Yellowknife, NT, Canada",62.4655991,-114.3481955,sight,The Bush Pilots Monument gives a good view of downtown Yellowknife from on the water.,https://patricklam.ca/post/20220507-yellowknife/,https://www.google.com/maps/search/?api=1&query=Bush%20Pilot%27s%20Monument%20Old%20Town%20%28Pilot%27s%20Rock%29%20Yellowknife
Wildcat Cafe,"Wildcat Cafe, Old Town, Yellowknife, NT, Canada",62.4665936,-114.3488741,restaurant,"First opened in 1937, it is the oldest restaurant in Yellowknife.",https://en.wikipedia.org/wiki/The_Wildcat_Cafe,https://www.google.com/maps/search/?api=1&query=Wildcat%20Cafe%20Old%20Town%20Yellowknife
Cameron Falls Trail,"Cameron Falls Trail, Hidden Lake Territorial Park, Ingraham Trail, Yellowknife, NT, Canada",62.5208735,-113.6872484,sight,"The 1.2 kilometre, there and back, hiking trail is a moderate adventure with some elevation hiking over rocks before arriving at a lookout overlooking a 17 metre waterfall, river and canyon.",https://packedforlife.com/yellowknife-hiking-cameron-falls/,https://www.google.com/maps/search/?api=1&query=Cameron%20Falls%20Trail%20Hidden%20Lake%20Territorial%20Park%2C%20Ingraham%20Trail%20%2847%20km%20east%29%20Yellowknife
Prince of Wales Northern Heritage Centre,"Prince of Wales Northern Heritage Centre, Frame Lake, Downtown, Yellowknife, NT, Canada",62.4562467,-114.380029,sight,"The Prince of Wales Northern Heritage Centre is well worth a visit, with informative displays.",https://patricklam.ca/post/20220507-yellowknife/,https://www.google.com/maps/search/?api=1&query=Prince%20of%20Wales%20Northern%20Heritage%20Centre%20Frame%20Lake%2C%20Downtown%20Yellowknife
Old Town Glassworks,"Old Town Glassworks, 3510 MacDonald Drive, Old Town, Yellowknife, NT, Canada",62.4661239,-114.3465634,shop,"Old Town Glassworks is a workers cooperative creating beautiful glassware, out of recycled materialsm rescued from the shores of Great Slave Lake.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Old%20Town%20Glassworks%203510%20MacDonald%20Drive%2C%20Old%20Town%20Yellowknife
Birchwood Coffee Kǫ̀,"Birchwood Coffee Kǫ̀, Downtown, Yellowknife, NT, Canada",62.4536426,-114.3680237,cafe,"Birchwood is a great place to grab a muffin or breakfast sandwich with your coffee, to sit awhile.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Birchwood%20Coffee%20K%C7%AB%CC%80%20Downtown%20Yellowknife
Copperhouse Eatery & Lounge,"Copperhouse Eatery & Lounge, Range Lake Road, Yellowknife, NT, Canada",62.4454978,-114.4119848,restaurant,Head out for the best pizza in town at the Copperhouse Eatery & Lounge,https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Copperhouse%20Eatery%20%26%20Lounge%20Range%20Lake%20Road%20Yellowknife
Zehabesha Traditional Ethiopian Food,"Zehabesha Traditional Ethiopian Food, Downtown, Yellowknife, NT, Canada",62.4527619,-114.3694607,restaurant,Let your tastebuds dance with the most delicious traditional Ethiopian food at Zehabesha,https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Zehabesha%20Traditional%20Ethiopian%20Food%20Downtown%20Yellowknife
Aurora Ninja Photo Tours,"Aurora Ninja Photo Tours, Yellowknife, Yellowknife, NT, Canada",,,other,"based on experience, David and Wynne seem to know exactly where to find 'em too.",https://vancouverscape.com/yellowknife-nwt-auroras-two-ways/,https://www.google.com/maps/search/?api=1&query=Aurora%20Ninja%20Photo%20Tours%20Yellowknife%20%28mobile%29%20Yellowknife
Aurora Hunting Tours,"Aurora Hunting Tours, Yellowknife, Yellowknife, NT, Canada",,,other,The best part is that you're hunting for the aurora instead of just sitting in a cabin while your tour guides watch videos.,https://www.tripadvisor.com/AttractionProductReview-g154966-d17799486-Aurora_Hunting_Tours-Yellowknife_Northwest_Territories.html,https://www.google.com/maps/search/?api=1&query=Aurora%20Hunting%20Tours%20Yellowknife%20%28mobile%29%20Yellowknife
Northwest Territories Legislative Assembly,"Northwest Territories Legislative Assembly, Frame Lake, Downtown, Yellowknife, NT, Canada",62.4595222,-114.3820579,sight,"Designed to reflect the natural surroundings and highlight the openess of consensus government, this architectural beauty sits along the shore of Frame Lake.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Northwest%20Territories%20Legislative%20Assembly%20Frame%20Lake%2C%20Downtown%20Yellowknife
Gallery of the Midnight Sun,"Gallery of the Midnight Sun, Old Town, Yellowknife, NT, Canada",62.4621208,-114.3528226,shop,Works of Inuit art and contemporary paintings hung side by side to display the best Yellowknife had to offer,https://epicureandculture.com/a-trip-back-in-time-in-yellowknifes-old-town/,https://www.google.com/maps/search/?api=1&query=Gallery%20of%20the%20Midnight%20Sun%20Old%20Town%20Yellowknife
Weaver & Devore Trading,"Weaver & Devore Trading, Old Town, Yellowknife, NT, Canada",62.4645006,-114.350561,shop,"Trading posts like Weaver & Devore thrived and cafes, bars and bistros popped up along the shores of the Great Slave Lake",https://epicureandculture.com/a-trip-back-in-time-in-yellowknifes-old-town/,https://www.google.com/maps/search/?api=1&query=Weaver%20%26%20Devore%20Trading%20Old%20Town%20Yellowknife
Buffalo Airways,"Buffalo Airways, 108 Berry Street, Yellowknife, NT, Canada",62.4679381,-114.4262991,sight,"Buffalo Airways, a long-time northern business has been operating WWII aircraft since 1970.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Buffalo%20Airways%20108%20Berry%20Street%20%28airport%29%20Yellowknife
Barren Ground Coffee,"Barren Ground Coffee, Downtown, Yellowknife, NT, Canada",,,cafe,"Barren Ground we recommend for grabbing a great expresso drink to go, along with a brownie or pastry and a bag of your favourite locally roasted beans.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Barren%20Ground%20Coffee%20Downtown%20Yellowknife
Old Town Paddle Co,"Old Town Paddle Co, Old Town, Yellowknife, NT, Canada",,,other,get your SUP adventure on with Old Town Paddle Co,https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Old%20Town%20Paddle%20Co%20Old%20Town%20/%20Great%20Slave%20Lake%20Yellowknife
Jackpine Paddle,"Jackpine Paddle, Yellowknife Bay, Yellowknife, NT, Canada",,,other,take a Yellowknife Bay Tour with Jackpine Paddle leaving at noon,https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=Jackpine%20Paddle%20Yellowknife%20Bay%20Yellowknife
NWT Diamond Centre,"NWT Diamond Centre, 5105 49 St, Downtown, Yellowknife, NT, Canada",62.4533785,-114.367127,shop,"At the NWT Diamond Centre enjoy an exhibition and short video on diamond exploration, mining and manufacturing in the north.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=NWT%20Diamond%20Centre%205105%2049%20St%2C%20Downtown%20Yellowknife
The Book Cellar,"The Book Cellar, Downtown, Yellowknife, NT, Canada",,,shop,"Buy an actual book from The Book Cellar, for a relaxing evening read.",https://packedforlife.com/things-to-do-yellowknife/,https://www.google.com/maps/search/?api=1&query=The%20Book%20Cellar%20Downtown%20Yellowknife
